group_source	address	target_guid	target_paths	labels
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Slab_21	009b7f340f490834c9725685aa4f3142	"[""Assets/Scenes/Hornet/Slab_21.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Dock_06_Church	018a117684be3ad4db26d6f05eb35391	"[""Assets/Scenes/Hornet/Dock_06_Church.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Library_03	01bbfb53da560164bbe45a77698fd8b4	"[""Assets/Scenes/Hornet/Library_03.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Greymoor_11	02130807ddb27f84b83d172e088f0943	"[""Assets/Scenes/Hornet/Greymoor_11.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Bone_08	02c6462b106c1be4e8f14ac55c547080	"[""Assets/Scenes/Hornet/Bone_08.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Memory_Ant_Queen	0348cc5a90d125440aae705e91477cdc	"[""Assets/Scenes/Hornet/Memory_Ant_Queen.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Dust_Maze_07	0380f99d86f556a4e8c642f931fa6d10	"[""Assets/Scenes/Hornet/Dust_Maze_07.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Weave_07	046e4fc7adb030344ab3ddbba8197a25	"[""Assets/Scenes/Hornet/Weave_07.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Room_Forge	069d58faa86c6674eb481867e93285df	"[""Assets/Scenes/Hornet/Room_Forge.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Cradle_02b	07a97fb103b914a47819973b749ec513	"[""Assets/Scenes/Hornet/Cradle_02b.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Under_08	07f6cd7ecc0a44445afa2f44934b2451	"[""Assets/Scenes/Hornet/Under_08.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Clover_05c	0803de41eed74aa40872dd3d17795c1e	"[""Assets/Scenes/Hornet/Clover_05c.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Shadow_08	088a10a624dccff47a0c0f0204d32c63	"[""Assets/Scenes/Hornet/Shadow_08.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Hang_14	0974cefe2962c6f48bb7e94cfa0b50af	"[""Assets/Scenes/Hornet/Hang_14.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Song_Enclave_Tube	0b778f61731ba7241ab3c20bc92cede3	"[""Assets/Scenes/Hornet/Song_Enclave_Tube.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Bellshrine	0b8a2c10dda9a7a4da11db02c4c349aa	"[""Assets/Scenes/Hornet/Bellshrine.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Bone_East_Umbrella	0bde1cd327a912e43904b30022e256cd	"[""Assets/Scenes/Hornet/Bone_East_Umbrella.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Library_15	0be6da79076631d43a83b92ccda2356d	"[""Assets/Scenes/Hornet/Library_15.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Hang_09	0bf1759d104899a4a94e38f7f0016b86	"[""Assets/Scenes/Hornet/Hang_09.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Ant_05b	0c44e0b973e823846854cd421340d84c	"[""Assets/Scenes/Hornet/Ant_05b.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Bone_East_24	0c4ef70d8061720479ce751e89887491	"[""Assets/Scenes/Hornet/Bone_East_24.unity""]"	[]
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	Scenes/Weave_14	0c6da735bc356454197c7efa256a9c9d	"[""Assets/Scenes/Hornet/Weave_14.unity""]"	[]
